year,city,country,avg_temp
1743,Perm,Russia,-7.73
1744,Perm,Russia,3.89
1745,Perm,Russia,-9.40
1746,Perm,Russia,
1747,Perm,Russia,
1748,Perm,Russia,
1749,Perm,Russia,
1750,Perm,Russia,
1751,Perm,Russia,
1752,Perm,Russia,-6.41
1753,Perm,Russia,0.95
1754,Perm,Russia,1.26
1755,Perm,Russia,1.08
1756,Perm,Russia,1.50
1757,Perm,Russia,1.60
1758,Perm,Russia,-0.79
1759,Perm,Russia,0.38
1760,Perm,Russia,-0.66
1761,Perm,Russia,1.10
1762,Perm,Russia,1.19
1763,Perm,Russia,2.00
1764,Perm,Russia,5.17
1765,Perm,Russia,1.30
1766,Perm,Russia,1.28
1767,Perm,Russia,1.29
1768,Perm,Russia,-0.22
1769,Perm,Russia,0.90
1770,Perm,Russia,0.88
1771,Perm,Russia,0.83
1772,Perm,Russia,1.08
1773,Perm,Russia,1.37
1774,Perm,Russia,1.76
1775,Perm,Russia,2.06
1776,Perm,Russia,1.21
1777,Perm,Russia,0.89
1778,Perm,Russia,1.01
1779,Perm,Russia,1.33
1780,Perm,Russia,1.69
1781,Perm,Russia,0.60
1782,Perm,Russia,0.57
1783,Perm,Russia,0.35
1784,Perm,Russia,1.05
1785,Perm,Russia,0.17
1786,Perm,Russia,0.99
1787,Perm,Russia,1.07
1788,Perm,Russia,0.97
1789,Perm,Russia,1.17
1790,Perm,Russia,0.70
1791,Perm,Russia,1.33
1792,Perm,Russia,0.82
1793,Perm,Russia,1.13
1794,Perm,Russia,1.48
1795,Perm,Russia,1.18
1796,Perm,Russia,1.11
1797,Perm,Russia,1.32
1798,Perm,Russia,1.42
1799,Perm,Russia,1.33
1800,Perm,Russia,1.02
1801,Perm,Russia,1.44
1802,Perm,Russia,1.28
1803,Perm,Russia,1.02
1804,Perm,Russia,1.34
1805,Perm,Russia,1.17
1806,Perm,Russia,1.14
1807,Perm,Russia,0.79
1808,Perm,Russia,0.39
1809,Perm,Russia,-1.12
1810,Perm,Russia,-1.19
1811,Perm,Russia,-0.51
1812,Perm,Russia,-0.42
1813,Perm,Russia,0.44
1814,Perm,Russia,-0.26
1815,Perm,Russia,-0.09
1816,Perm,Russia,-0.26
1817,Perm,Russia,-0.92
1818,Perm,Russia,0.63
1819,Perm,Russia,-0.65
1820,Perm,Russia,0.46
1821,Perm,Russia,1.10
1822,Perm,Russia,1.85
1823,Perm,Russia,0.55
1824,Perm,Russia,1.33
1825,Perm,Russia,1.53
1826,Perm,Russia,1.97
1827,Perm,Russia,1.73
1828,Perm,Russia,-0.09
1829,Perm,Russia,-0.04
1830,Perm,Russia,1.59
1831,Perm,Russia,0.17
1832,Perm,Russia,-0.12
1833,Perm,Russia,0.55
1834,Perm,Russia,0.24
1835,Perm,Russia,-0.51
1836,Perm,Russia,0.81
1837,Perm,Russia,-0.26
1838,Perm,Russia,0.15
1839,Perm,Russia,0.34
1840,Perm,Russia,-0.32
1841,Perm,Russia,1.03
1842,Perm,Russia,0.37
1843,Perm,Russia,2.35
1844,Perm,Russia,0.47
1845,Perm,Russia,0.33
1846,Perm,Russia,0.36
1847,Perm,Russia,1.08
1848,Perm,Russia,0.53
1849,Perm,Russia,0.80
1850,Perm,Russia,-0.01
1851,Perm,Russia,1.97
1852,Perm,Russia,0.27
1853,Perm,Russia,1.05
1854,Perm,Russia,1.75
1855,Perm,Russia,0.43
1856,Perm,Russia,0.23
1857,Perm,Russia,-0.68
1858,Perm,Russia,0.30
1859,Perm,Russia,1.96
1860,Perm,Russia,-0.46
