year,city,country,avg_temp
1861,Perm,Russia,-0.06
1862,Perm,Russia,-1.38
1863,Perm,Russia,2.12
1864,Perm,Russia,0.94
1865,Perm,Russia,0.49
1866,Perm,Russia,1.22
1867,Perm,Russia,1.05
1868,Perm,Russia,0.66
1869,Perm,Russia,2.38
1870,Perm,Russia,-0.08
1871,Perm,Russia,0.29
1872,Perm,Russia,0.22
1873,Perm,Russia,0.16
1874,Perm,Russia,1.75
1875,Perm,Russia,-1.31
1876,Perm,Russia,0.30
1877,Perm,Russia,0.91
1878,Perm,Russia,2.61
1879,Perm,Russia,0.73
1880,Perm,Russia,0.44
1881,Perm,Russia,0.31
1882,Perm,Russia,0.79
1883,Perm,Russia,1.11
1884,Perm,Russia,-0.09
1885,Perm,Russia,-0.05
1886,Perm,Russia,0.47
1887,Perm,Russia,1.82
1888,Perm,Russia,0.34
1889,Perm,Russia,1.04
1890,Perm,Russia,0.93
1891,Perm,Russia,-0.61
1892,Perm,Russia,0.55
1893,Perm,Russia,0.71
1894,Perm,Russia,0.31
1895,Perm,Russia,0.38
1896,Perm,Russia,0.03
1897,Perm,Russia,0.67
1898,Perm,Russia,0.48
1899,Perm,Russia,1.27
1900,Perm,Russia,0.27
1901,Perm,Russia,0.66
1902,Perm,Russia,-0.95
1903,Perm,Russia,1.72
1904,Perm,Russia,1.07
1905,Perm,Russia,1.98
1906,Perm,Russia,1.71
1907,Perm,Russia,-0.21
1908,Perm,Russia,-0.79
1909,Perm,Russia,1.90
1910,Perm,Russia,1.23
1911,Perm,Russia,0.44
1912,Perm,Russia,0.03
1913,Perm,Russia,1.18
1914,Perm,Russia,0.62
1915,Perm,Russia,1.21
1916,Perm,Russia,1.09
1917,Perm,Russia,1.10
1918,Perm,Russia,0.10
1919,Perm,Russia,-0.15
1920,Perm,Russia,1.72
1921,Perm,Russia,1.96
1922,Perm,Russia,1.54
1923,Perm,Russia,2.18
1924,Perm,Russia,1.23
1925,Perm,Russia,2.15
1926,Perm,Russia,0.23
1927,Perm,Russia,0.54
1928,Perm,Russia,0.68
1929,Perm,Russia,-0.12
1930,Perm,Russia,0.73
1931,Perm,Russia,1.72
1932,Perm,Russia,1.77
1933,Perm,Russia,-0.13
1934,Perm,Russia,2.24
1935,Perm,Russia,2.12
1936,Perm,Russia,2.54
1937,Perm,Russia,1.62
1938,Perm,Russia,1.69
1939,Perm,Russia,1.11
1940,Perm,Russia,0.44
1941,Perm,Russia,-0.90
1942,Perm,Russia,0.21
1943,Perm,Russia,1.92
1944,Perm,Russia,2.23
1945,Perm,Russia,-0.20
1946,Perm,Russia,1.11
1947,Perm,Russia,1.14
1948,Perm,Russia,1.75
1949,Perm,Russia,1.73
1950,Perm,Russia,0.97
1951,Perm,Russia,2.01
1952,Perm,Russia,1.44
1953,Perm,Russia,1.31
1954,Perm,Russia,1.30
1955,Perm,Russia,0.64
1956,Perm,Russia,0.24
1957,Perm,Russia,2.34
1958,Perm,Russia,1.14
1959,Perm,Russia,1.38
1960,Perm,Russia,0.77
1961,Perm,Russia,2.31
1962,Perm,Russia,2.99
1963,Perm,Russia,0.95
1964,Perm,Russia,1.20
1965,Perm,Russia,1.06
1966,Perm,Russia,0.33
1967,Perm,Russia,2.80
1968,Perm,Russia,0.06
1969,Perm,Russia,-1.38
1970,Perm,Russia,1.54
1971,Perm,Russia,1.29
1972,Perm,Russia,1.03
1973,Perm,Russia,1.68
1974,Perm,Russia,2.46
1975,Perm,Russia,2.77
1976,Perm,Russia,0.59
1977,Perm,Russia,1.96
1978,Perm,Russia,0.59
1979,Perm,Russia,0.97
1980,Perm,Russia,1.19
1981,Perm,Russia,3.48
1982,Perm,Russia,1.86
1983,Perm,Russia,3.20
1984,Perm,Russia,1.11
1985,Perm,Russia,0.90
1986,Perm,Russia,0.54
1987,Perm,Russia,0.97
1988,Perm,Russia,2.43
1989,Perm,Russia,2.57
1990,Perm,Russia,2.62
1991,Perm,Russia,2.87
1992,Perm,Russia,1.42
1993,Perm,Russia,1.36
1994,Perm,Russia,1.34
1995,Perm,Russia,3.78
1996,Perm,Russia,1.57
1997,Perm,Russia,1.24
1998,Perm,Russia,1.32
1999,Perm,Russia,1.76
2000,Perm,Russia,2.81
2001,Perm,Russia,2.08
2002,Perm,Russia,1.71
2003,Perm,Russia,3.14
2004,Perm,Russia,2.73
2005,Perm,Russia,3.41
2006,Perm,Russia,1.83
2007,Perm,Russia,3.00
2008,Perm,Russia,3.95
2009,Perm,Russia,2.21
2010,Perm,Russia,2.08
2011,Perm,Russia,2.30
2012,Perm,Russia,2.65
2013,Perm,Russia,3.65
