year,city,country,avg_temp
1942,Oslo,Norway,1.17
1943,Oslo,Norway,3.34
1944,Oslo,Norway,2.88
1945,Oslo,Norway,3.29
1946,Oslo,Norway,2.94
1947,Oslo,Norway,2.22
1948,Oslo,Norway,3.01
1949,Oslo,Norway,3.92
1950,Oslo,Norway,2.61
1951,Oslo,Norway,2.61
1952,Oslo,Norway,1.69
1953,Oslo,Norway,3.78
1954,Oslo,Norway,2.24
1955,Oslo,Norway,2.39
1956,Oslo,Norway,1.88
1957,Oslo,Norway,2.86
1958,Oslo,Norway,1.92
1959,Oslo,Norway,3.60
1960,Oslo,Norway,2.49
1961,Oslo,Norway,3.39
1962,Oslo,Norway,1.69
1963,Oslo,Norway,1.76
1964,Oslo,Norway,2.60
1965,Oslo,Norway,1.80
1966,Oslo,Norway,1.42
1967,Oslo,Norway,2.76
1968,Oslo,Norway,2.02
1969,Oslo,Norway,2.12
1970,Oslo,Norway,1.54
1971,Oslo,Norway,3.24
1972,Oslo,Norway,3.00
1973,Oslo,Norway,3.24
1974,Oslo,Norway,3.63
1975,Oslo,Norway,4.01
1976,Oslo,Norway,2.49
1977,Oslo,Norway,2.40
1978,Oslo,Norway,2.05
1979,Oslo,Norway,1.26
1980,Oslo,Norway,1.81
1981,Oslo,Norway,1.82
1982,Oslo,Norway,2.97
1983,Oslo,Norway,3.59
1984,Oslo,Norway,3.21
1985,Oslo,Norway,0.98
1986,Oslo,Norway,2.05
1987,Oslo,Norway,1.32
1988,Oslo,Norway,3.30
1989,Oslo,Norway,4.39
1990,Oslo,Norway,4.55
1991,Oslo,Norway,3.40
1992,Oslo,Norway,3.83
1993,Oslo,Norway,2.72
1994,Oslo,Norway,2.74
1995,Oslo,Norway,3.08
1996,Oslo,Norway,1.88
1997,Oslo,Norway,3.87
1998,Oslo,Norway,3.06
1999,Oslo,Norway,3.73
2000,Oslo,Norway,4.52
2001,Oslo,Norway,2.68
2002,Oslo,Norway,3.57
2003,Oslo,Norway,3.76
2004,Oslo,Norway,3.79
2005,Oslo,Norway,4.26
2006,Oslo,Norway,4.43
2007,Oslo,Norway,3.96
2008,Oslo,Norway,4.16
2009,Oslo,Norway,3.31
2010,Oslo,Norway,1.30
2011,Oslo,Norway,4.14
2012,Oslo,Norway,3.09
2013,Oslo,Norway,3.50
